"digit_class","spike_count","latency_us","mean_isi_us","max_isi_us","spike_density","on_ratio","spatial_width","spatial_height","bounding_area","active_pixels","spikes_per_pixel","center_of_mass_x","center_of_mass_y"
5,2873,311074,108.31,4043,9.2357,0.5005,33,33,1089,447,6.43,16.98,17.55
2,5348,306950,57.41,6016,17.423,0.4938,33,33,1089,510,10.49,16.81,16.7
9,2746,307228,111.92,7251,8.938,0.5047,33,33,1089,393,6.99,17.01,17.05
8,4870,306924,63.04,2113,15.8671,0.4924,33,33,1089,433,11.25,16.76,16.32
6,4686,310025,66.17,4004,15.1149,0.4936,33,33,1089,487,9.62,16.12,17.71
6,5007,301516,60.23,2471,16.6061,0.4963,33,33,1089,471,10.63,17.35,17.38
5,5369,307841,57.35,2399,17.4408,0.4902,33,33,1089,543,9.89,16.37,16.96
7,3931,307825,78.33,8077,12.7702,0.5001,33,33,1089,415,9.47,16.39,17.46
8,6047,301790,49.92,3642,20.0371,0.4923,33,33,1089,521,11.61,16.03,17.92
1,1610,301814,187.58,7369,5.3344,0.518,33,33,1089,293,5.49,16.91,16.67
3,5451,305879,56.12,3379,17.8208,0.4946,33,33,1089,525,10.38,17.1,17.56
7,3081,310940,100.95,6671,9.9087,0.4943,33,33,1089,386,7.98,16.69,17.08
0,4837,305398,63.15,2652,15.8383,0.4889,33,33,1089,474,10.2,17.12,16.66
4,2932,306172,104.46,4913,9.5763,0.5027,33,33,1089,366,8.01,16.79,17.74
8,3905,310769,79.6,9138,12.5656,0.4999,33,33,1089,436,8.96,16.36,17.06
