digit_class,spike_count,latency_us,mean_isi_us,max_isi_us,spike_density,on_ratio,spatial_width,spatial_height,bounding_area,active_pixels,spikes_per_pixel,center_of_mass_x,center_of_mass_y
6,3545,304861,86.02,2965,11.6283,0.4968,33,33,1089,397,8.93,16.38,17.05
4,2872,306460,106.74,4696,9.3715,0.501,33,33,1089,400,7.18,16.46,17.29
1,1687,307688,182.5,5477,5.4828,0.521,33,33,1089,299,5.64,16.63,16.38
4,3979,304373,76.51,4737,13.0728,0.4966,32,33,1056,448,8.88,16.33,17.15
4,4745,304299,64.14,3173,15.5932,0.4934,33,33,1089,465,10.2,16.3,17.26
6,5138,305400,59.45,5578,16.8238,0.4924,33,33,1089,477,10.77,16.43,17.04
0,6447,307808,47.75,4382,20.9449,0.4898,33,33,1089,578,11.15,17.09,17.93
5,4073,308225,75.69,4771,13.2144,0.4996,33,33,1089,417,9.77,17.47,16.1
6,5255,302687,57.61,3228,17.3612,0.4932,33,32,1056,468,11.23,16.32,16.41
0,6035,306146,50.74,4586,19.7128,0.4906,33,32,1056,536,11.26,16.36,16.84
2,5835,307821,52.76,2638,18.9558,0.4908,33,33,1089,550,10.61,17.07,17.19
7,3508,302578,86.28,3627,11.5937,0.506,33,33,1089,399,8.79,16.23,17.47
5,3774,305294,80.92,2691,12.3619,0.4997,33,33,1089,429,8.8,16.43,17.44
5,6334,305783,48.28,2696,20.714,0.4931,33,33,1089,565,11.21,16.52,18.05
3,4599,303871,66.09,2798,15.1347,0.5005,33,33,1089,467,9.85,16.28,16.79
6,3901,308142,79.01,3833,12.6597,0.4968,33,33,1089,420,9.29,16.28,16.68
0,6329,305427,48.27,2779,20.7218,0.4927,33,33,1089,589,10.75,17.12,17.46
9,4633,307429,66.37,4092,15.0701,0.4973,33,33,1089,442,10.48,16.46,17.3
7,4209,307945,73.18,2416,13.668,0.4916,32,33,1056,437,9.63,16.22,16.88
8,4791,303360,63.33,4477,15.7931,0.4922,33,33,1089,440,10.89,16.75,17.17
9,4310,305903,70.99,3808,14.0894,0.4963,33,33,1089,423,10.19,16.81,17.5
2,4155,306300,73.74,2815,13.5651,0.4968,33,33,1089,448,9.27,16.66,16.47
4,3035,305685,100.75,3259,9.9285,0.4939,33,33,1089,423,7.17,16.19,17.18
9,3821,307602,80.52,3766,12.4219,0.4965,33,33,1089,386,9.9,16.63,17.21
4,3627,304550,83.99,2293,11.9094,0.5032,33,32,1056,433,8.38,16.43,17.59
